X,Y,Facies
5934259.557,5.1000000000000005,0
5934259.557,4.7,0
5934259.557,3.1,0
5934259.557,2.3000000000000003,0
5934259.557,0.5,0
5934259.557,-0.5999999999999996,0
5934259.557,-2.7,0
5934259.557,-4.8,0
5934259.557,-4.999999999999999,1
5934259.557,-6.8,0
5934259.557,-6.999999999999999,0
5934259.557,-7.999999999999999,0
5934259.557,-9.2,1
5934259.557,-11.5,0
5934259.557,-12.7,0
5934259.557,-13.900000000000002,0
5934259.557,-16.1,0
5934259.557,-17.3,0
5934259.557,-18.6,0
5934259.557,-20.15,0
5934243.564,1.5500000000000005,0
5934243.564,0.1500000000000003,0
5934243.564,-1.85,0
5934243.564,-5.15,0
5934243.564,-5.65,0
5934243.564,-6.45,0
5934243.564,-6.65,1
5934243.564,-7.45,0
5934243.564,-8.45,1
5934243.564,-9.05,0
5934291.795,3.2500000000000004,0
5934291.795,2.7500000000000004,1
5934291.795,1.8500000000000003,1
5934291.795,0.5500000000000007,1
5934291.795,-1.4499999999999993,0
5934291.795,-2.35,0
5934291.795,-3.4499999999999997,0
5934291.795,-5.199999999999999,0
5934291.795,-5.949999999999999,1
5934291.795,-8.049999999999999,1
5934291.795,-10.5,1
5934291.795,-13.85,0
5934291.795,-15.55,0
5934327.531,3.0,0
5934327.531,1.0,1
5934327.531,-1.5,0
5934327.531,-2.5,0
5934327.531,-4.0,0
5934327.531,-5.0,0
5934327.531,-6.0,0
5934327.531,-6.300000000000001,0
5934327.531,-9.0,1
5934327.531,-9.7,0
5934327.531,-10.1,0
5934213.576,3.33,0
5934213.576,2.33,0
5934213.576,1.2300000000000004,0
5934213.576,-8.37,0
5934213.576,-13.67,0
5934294.544,1.6500000000000004,0
5934294.544,-1.3499999999999996,1
5934294.544,-2.35,0
5934294.544,-3.549999999999999,1
5934294.544,-6.35,0
5934294.544,-9.35,0
5934294.544,-10.85,1
5934294.544,-12.85,0
5934294.544,-15.35,1
5934294.544,-17.35,0
5934294.544,-18.35,0
5934294.544,-28.35,1
5934294.544,-50.35,1
5934294.544,-62.35,2
5934294.544,-79.35,2
5934294.544,-102.35,2
5934294.544,-105.35,2
5934294.544,-110.85,1
5934294.544,-114.35,1
5934294.544,-117.35,0
5934294.544,-126.85,0
5934294.544,-129.35,0
5934294.544,-133.35,0
5934294.544,-150.35,0
5934294.544,-152.85,0
5934294.544,-155.35,0
5934294.544,-161.85,1
5934287.547,2.39,0
5934287.547,1.39,0
5934287.547,-1.1099999999999994,1
5934287.547,-2.6099999999999994,0
5934287.547,-3.810000000000001,0
5934287.547,-5.41,0
5934287.547,-7.209999999999999,0
5934287.547,-8.81,0
5934252.56,1.86,0
5934252.56,0.1600000000000001,1
5934252.56,-1.6400000000000006,0
5934252.56,-3.040000000000001,1
5934252.56,-4.84,0
5934252.56,-6.640000000000001,0
5934252.56,-8.040000000000001,0
5934350.521,3.29,0
5934350.521,2.59,0
5934350.521,0.5900000000000003,0
5934350.521,-0.2099999999999995,0
5934350.521,-2.11,1
5934350.521,-3.71,1
5934350.521,-5.109999999999999,0
5934350.521,-5.91,0
5934350.521,-7.91,1
5934350.521,-9.61,1
5934350.521,-11.31,0
5934350.521,-12.31,0
5934264.556,2.21,0
5934264.556,0.4100000000000001,1
5934264.556,-1.79,0
5934264.556,-3.5900000000000007,0
5934264.556,-4.29,0
5934264.556,-7.090000000000001,0
5934264.556,-9.79,0
5934316.805,4.5,0
5934316.805,3.5,0
5934316.805,2.5,0
5934316.805,1.5,0
5934316.805,0.5,0
5934316.805,-0.2999999999999998,0
5934316.805,-1.4000000000000004,1
5934316.805,-2.7,0
5934316.805,-3.7,0
5934316.805,-4.7,0
5934316.805,-5.7,0
5934316.805,-6.7,0
5934316.805,-7.7,1
5934316.805,-8.7,1
5934316.805,-9.7,1
5934316.805,-10.9,1
5934316.805,-11.9,0
5934316.805,-12.9,0
5934316.805,-13.9,0
5934316.805,-14.9,0
5934316.805,-15.9,0
5934316.805,-16.9,0
5934316.805,-17.9,0
5934316.805,-18.9,0
5934316.805,-19.9,0
5934316.805,-20.9,0
5934316.805,-21.9,0
5934316.805,-22.7,1
5934316.805,-23.7,0
5934316.805,-24.45,0
5934357.519,3.0,0
5934357.519,2.0,0
5934357.519,-0.2999999999999998,0
5934357.519,-0.7000000000000002,0
5934357.519,-1.2000000000000002,1
5934357.519,-2.5,0
5934357.519,-5.6000000000000005,0
5934357.519,-7.1000000000000005,1
5934357.519,-8.0,0
5934357.519,-9.6,0
5934357.519,-15.0,2
